Kod;Proces;Warstwa;Charakter;Grupa procesowa;[znane] Wlasciciel (tor);[znane] Komorka org. (basen);[znane] Aktywa AI;[znane] Systemy;[znane] RODO dane osobowe;[znane] RODO dane medyczne;[znane] Ref. model L3;Zdarzenie_startowe;Typ_startu (message/timer/signal/none);Kroki (1|2|3...);Role_per_krok (1|2|3...);Bramki_decyzje (po kroku N: pytanie -> tak:.. / nie:..);Wyjatki;Zdarzenia_koncowe (1|2..);Aktywa_per_krok (krok:AI-xx);Komunikaty_miedzyprocesowe;Znaczenie 1-5;Kondycja 1-5;Wykonalnosc 1-5;Uwagi
G8.01;Prowadzenie dokumentacji medycznej (papierowej i EDM);Główny;Medyczny;G8. Dokumentacja medyczna i archiwum;Personel medyczny;Wszystkie komórki medyczne;AI-05, AI-53, AI-57, AI-61;AW-S01, AW-S05, AW-S10, AW-S21;Tak;Tak;;;;;;;;;;;;;;
G8.02;Udostępnianie dokumentacji medycznej (pacjent, organy, podmioty);Główny;Medyczny;G8. Dokumentacja medyczna i archiwum;SDM;DM.SDM;AI-05, AI-57;AW-S09, AW-S05;Tak;Tak;11_UDOSTEPNIENIE_DM;;;;;;;;;;;;;
G8.03;Archiwizacja i przechowywanie dokumentacji medycznej;Główny;Medyczny;G8. Dokumentacja medyczna i archiwum;SDM;DM.SDM;AI-05;AW-S09;Tak;Tak;;;;;;;;;;;;;;
G8.04;Brakowanie/niszczenie dokumentacji po okresie przechowywania;Główny;Medyczny;G8. Dokumentacja medyczna i archiwum;SDM;DM.SDM;AI-05;AW-S09;Tak;Tak;;;;;;;;;;;;;;
G8.05;Integracja z platformą P1 (EDM, IKP);Główny;Medyczny;G8. Dokumentacja medyczna i archiwum;DI.DI / SDM;DI.DI, DM.SDM;AI-05, AI-06, AI-07;AW-S05, AW-S08, AW-S09;Tak;Tak;09_INTAKE_HIS (część);;;;;;;;;;;;;
G9.01;Sprawozdawczość bieżąca do NFZ (komunikaty SWIAD, KOLEJKI);Główny;Niemedyczny;G9. Rozliczenia świadczeń (NFZ) i statystyka;DRZ;DM.DRZ;;;Tak;Tak;;;;;;;;;;;;;;
G9.02;Rozliczanie świadczeń (JGP, ryczałt PSZ, AOS);Główny;Niemedyczny;G9. Rozliczenia świadczeń (NFZ) i statystyka;DRZ;DM.DRZ;;;Tak;Tak;13_ROZLICZENIE_SWIADCZEN;;;;;;;;;;;;;
G9.03;Sprawozdawczość statystyczna (MZ-29, MZ-11, GUS);Główny;Niemedyczny;G9. Rozliczenia świadczeń (NFZ) i statystyka;DRZ;DM.DRZ;;;Nie;Nie;;;;;;;;;;;;;;
G9.04;Obsługa kontroli NFZ;Główny;Niemedyczny;G9. Rozliczenia świadczeń (NFZ) i statystyka;DRZ / Zarząd;DM.DRZ, Z;;;Tak;Tak;;;;;;;;;;;;;;
G9.05;Wystawianie faktur za świadczenia komercyjne;Główny;Niemedyczny;G9. Rozliczenia świadczeń (NFZ) i statystyka;DRZ / DFK;DM.DRZ, K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
G10.01;Transport sanitarny pacjentów (planowy i pilny);Główny;Medyczny;G10. Transport medyczny;Zespół Transportu Med.;JO.POR_KUP.9250;;;Tak;Tak;;;;;;;;;;;;;;
G10.02;Transport materiału biologicznego do laboratorium;Główny;Medyczny;G10. Transport medyczny;Zespół Transportu Med.;JO.POR_KUP.9250;;;Tak;Tak;;;;;;;;;;;;;;
G10.03;Utrzymanie pojazdów transportu medycznego;Główny;Medyczny;G10. Transport medyczny;Zespół Transportu Med. / DI.DT;JO.POR_KUP.9250, DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W1.01;Polityka rachunkowości i prowadzenie ksiąg rachunkowych;Wspierający;Niemedyczny;W1. Finanse i rachunkowość;Główny Księgowy;K / K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W1.02;Budżetowanie i planowanie finansowe (plan rzeczowo-finansowy);Wspierający;Niemedyczny;W1. Finanse i rachunkowość;Główny Księgowy / Zarząd;K, Z;;;Tak;Nie;;;;;;;;;;;;;;
W1.03;Księgowanie przychodów NFZ i komercyjnych;Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK;K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W1.04;Zarządzanie należnościami i windykacja;Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK;K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W1.05;Zarządzanie zobowiązaniami i płatnościami;Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK;K.DFK;;;Tak;Nie;10_FAKTURA_3WAY;;;;;;;;;;;;;
W1.06;Rachunek kosztów świadczeń (sprawozdawczość AOTMiT);Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK / DRZ;K.DFK, DM.DRZ;;;Tak;Nie;;;;;;;;;;;;;;
W1.07;Sprawozdania finansowe i podatkowe (US, JPK, GUS);Wspierający;Niemedyczny;W1. Finanse i rachunkowość;Główny Księgowy / DFK;K, K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W1.08;Inwentaryzacja;Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK;K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W1.09;Środki trwałe i wartości niematerialne (ewidencja, amortyzacja);Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK;K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W1.10;Obsługa kasy / gotówki;Wspierający;Niemedyczny;W1. Finanse i rachunkowość;DFK;K.DFK;;;Tak;Nie;;;;;;;;;;;;;;
W2.01;Planowanie zatrudnienia i etatów;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP / Zarząd;K.DPP, Z;;;Tak;Nie;;;;;;;;;;;;;;
W2.02;Rekrutacja i selekcja;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.03;Zatrudnianie - umowy o pracę i kontrakty cywilnoprawne;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.04;Wdrożenie i adaptacja nowego pracownika;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP / kierownicy komórek;K.DPP;;;Tak;Nie;01_ONBOARDING;;;;;;;;;;;;;
W2.05;Naliczanie i wypłata wynagrodzeń (płace, ZUS, PIT);Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.06;Ewidencja czasu pracy i grafiki;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP / kierownicy komórek;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.07;Urlopy i nieobecności;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.08;Świadczenia socjalne (ZFŚS);Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP / Komisja Socjalna;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.09;Szkolenia obowiązkowe i podnoszenie kwalifikacji;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;08_SZKOLENIA;;;;;;;;;;;;;
W2.10;Pracownicze Plany Kapitałowe (PPK);Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.11;Prowadzenie akt osobowych i archiwum kadr;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W2.12;Medycyna pracy (profilaktyczne badania pracowników);Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP;K.DPP;;;Tak;Tak;;;;;;;;;;;;;;
W2.13;Sprawy dyscyplinarne i rozwiązanie stosunku pracy;Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP / RP;K.DPP, RP;;;Tak;Nie;02_OFFBOARDING (część);;;;;;;;;;;;;
W2.14;Zarządzanie dyżurami i grafikami lekarskimi (obsada lekarska, dyżury medyczne);Wspierający;Niemedyczny;W2. HR / Kadry-Płace;DPP / Kierownicy komórek medycznych / DM;K.DPP, Oddziały;;;Tak;Nie;;;;;;;;;;;;;;
W3.01;Plan postępowań o udzielenie zamówień publicznych;Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP;DZP;;;Tak;Nie;03_ZAKUPY_DECYZJA_TRYB;;;;;;;;;;;;;
W3.02;Prowadzenie postępowań PZP (przetargi, tryby konkurencyjne);Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP;DZP;;;Tak;Nie;04_PZP / 05_BK;;;;;;;;;;;;;
W3.03;Udzielanie zamówień podprogowych (wg regulaminu wewnętrznego);Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP;DZP;;;Tak;Nie;06_WOLNA_REKA / 07_KONKURS_OFERT;;;;;;;;;;;;;
W3.04;Realizacja zakupów bieżących (zaopatrzenie);Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP;DZP;;;Tak;Nie;;;;;;;;;;;;;;
W3.05;Zarządzanie umowami z dostawcami (CLM);Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP / RP;DZP, RP;;;Tak;Nie;;;;;;;;;;;;;;
W3.06;Gospodarka magazynowa (jeśli prowadzony magazyn centralny);Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP;DZP;;;Tak;Nie;;;;;;;;;;;;;;
W3.07;Obsługa platformy eZamówienia (Platforma e-Zamówienia);Wspierający;Niemedyczny;W3. Zamówienia publiczne i zakupy;DZP;DZP;;;Tak;Nie;;;;;;;;;;;;;;
W4.01;Wsparcie użytkowników i obsługa zgłoszeń IT;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;AI-60;AW-S10;Tak;Nie;;;;;;;;;;;;;;
W4.02;Zarządzanie systemami HIS/RIS/PACS/LIS;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;;Tak;Tak;;;;;;;;;;;;;;
W4.03;Integracja z platformą P1 (EDM, e-recepta, e-skierowanie, e-ZLA);Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;;Tak;Tak;;;;;;;;;;;;;;
W4.04;Zarządzanie tożsamością i dostępem (IAM);Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI / ABS;DI.DI, ABS;;AW-S12, AW-S19, AW-S21;Tak;Nie;14_UPRAWNIENIA;;;;;;;;;;;;;
W4.05;Tworzenie kopii zapasowych i odtwarzanie danych;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;AW-S20;Tak;Tak;;;;;;;;;;;;;;
W4.06;Bezpieczeństwo operacyjne IT (Cyber Operations);Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI / ABS;DI.DI, ABS;;AW-S17, AW-S18;Tak;Nie;;;;;;;;;;;;;;
W4.07;Reagowanie na incydenty cyberbezpieczeństwa (CSIRT);Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI / ABS / PBI;DI.DI, ABS, PBI;;;Tak;Nie;15_INCYDENT;;;;;;;;;;;;;
W4.08;Zarządzanie infrastrukturą sieciową i serwerami;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;AW-S19;Nie;Nie;;;;;;;;;;;;;;
W4.09;Telefonia i łączność;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;;Tak;Nie;;;;;;;;;;;;;;
W4.10;Telemedycyna i e-rejestracja;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;AI-55, AI-56;AW-S10, AW-S13;Tak;Tak;;;;;;;;;;;;;;
W4.11;Zarządzanie zmianą IT i konfiguracją;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;;Nie;Nie;;;;;;;;;;;;;;
W4.12;Utrzymanie strony WWW i BIP;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI;DI.DI;;;Nie;Nie;;;;;;;;;;;;;;
W5.01;Eksploatacja i utrzymanie obiektów (KUP, POK, CHR);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.02;Przeglądy okresowe budynków (prawo budowlane);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.03;Utrzymanie i serwis aparatury medycznej (paszporty techniczne);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.04;Zarządzanie mediami (energia, woda, gaz, gazy medyczne);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.05;Wentylacja, klimatyzacja, czystość powietrza (bloki operacyjne, sale);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.06;Usługa pralnicza (jeśli wewnętrzna / zlecana);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT / DZP;DI.DT, DZP;;;Nie;Nie;;;;;;;;;;;;;;
W5.07;Sprzątanie i utrzymanie czystości (we współpracy z DHiE);Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT, DM.DHiE;;;Nie;Nie;;;;;;;;;;;;;;
W5.08;Catering / żywienie zbiorowe pacjentów;Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT / DZP;DI.DT, DZP;;;Tak;Nie;;;;;;;;;;;;;;
W5.09;Gospodarka odpadami komunalnymi i medycznymi;Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.10;Transport pomocniczy i gospodarka pojazdami niemedycznymi;Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Nie;Nie;;;;;;;;;;;;;;
W5.11;Ochrona fizyczna obiektów;Wspierający;Niemedyczny;W5. Infrastruktura techniczna i media;DT;DI.DT;;;Tak;Nie;;;;;;;;;;;;;;
W6.01;Zarządzanie dokumentacją wewnętrzną (regulaminy, zarządzenia, instrukcje);Wspierający;Niemedyczny;W6. Sprawy organizacyjno-prawne;DOP;K.DOP;AI-61;AW-S21;Tak;Nie;;;;;;;;;;;;;;
W6.02;Obsługa kancelaryjna - korespondencja przychodząca i wychodząca;Wspierający;Niemedyczny;W6. Sprawy organizacyjno-prawne;DOP;K.DOP;;;Tak;Nie;;;;;;;;;;;;;;
W6.03;Prowadzenie rejestrów wewnętrznych Spółki;Wspierający;Niemedyczny;W6. Sprawy organizacyjno-prawne;DOP;K.DOP;;;Tak;Nie;;;;;;;;;;;;;;
W6.04;Archiwum zakładowe (dokumenty niemedyczne);Wspierający;Niemedyczny;W6. Sprawy organizacyjno-prawne;DOP;K.DOP;;;Tak;Nie;;;;;;;;;;;;;;
W6.05;Obsługa spraw korporacyjnych (KRS, BIP, walne);Wspierający;Niemedyczny;W6. Sprawy organizacyjno-prawne;DOP / RP;K.DOP, RP;;;Tak;Nie;;;;;;;;;;;;;;
W6.06;Obsługa wniosków o informację publiczną (UDIP);Wspierający;Niemedyczny;W6. Sprawy organizacyjno-prawne;DOP;K.DOP;;;Tak;Nie;;;;;;;;;;;;;;
W7.01;Ocena ryzyka zawodowego na stanowiskach pracy;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;BHP;BHP;;;Tak;Nie;;;;;;;;;;;;;;
W7.02;Postępowania powypadkowe i rejestr wypadków;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;BHP;BHP;;;Tak;Tak;;;;;;;;;;;;;;
W7.03;Szkolenia BHP (wstępne i okresowe);Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;BHP / DPP;BHP, K.DPP;;;Tak;Nie;;;;;;;;;;;;;;
W7.04;Środki ochrony indywidualnej - zapewnienie;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;BHP / DZP;BHP, DZP;;;Tak;Nie;;;;;;;;;;;;;;
W7.05;Plany ewakuacji i procedury P-POŻ;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;P-POŻ;P-POŻ;;;Tak;Nie;;;;;;;;;;;;;;
W7.06;Przeglądy sprzętu i instalacji P-POŻ;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;P-POŻ / DT;P-POŻ, DI.DT;;;Tak;Nie;;;;;;;;;;;;;;
W7.07;Szkolenia i ćwiczenia P-POŻ;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;P-POŻ;P-POŻ;;;Tak;Nie;;;;;;;;;;;;;;
W7.08;Sprawy obronne - planowanie OC i MOB;Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;OBR;OBR;;;Tak;Nie;;;;;;;;;;;;;;
W7.09;Współpraca z organami obronnymi (WSzW, ZW Opolski);Wspierający;Niemedyczny;W7. BHP, P-POŻ i sprawy obronne;OBR;OBR;;;Tak;Nie;;;;;;;;;;;;;;
W8.01;Planowanie i programowanie inwestycji;Wspierający;Niemedyczny;W8. Inwestycje i rozwój;Dyrektor ds. Inw. i Rozwoju;DI;;;Nie;Nie;;;;;;;;;;;;;;
W8.02;Realizacja projektów inwestycyjnych (CapEx);Wspierający;Niemedyczny;W8. Inwestycje i rozwój;Dyrektor ds. Inw. i Rozwoju;DI;;;Nie;Nie;;;;;;;;;;;;;;
W8.03;Pozyskiwanie środków zewnętrznych (UE, dotacje, MZ);Wspierający;Niemedyczny;W8. Inwestycje i rozwój;Dyrektor ds. Inw. i Rozwoju;DI;;;Nie;Nie;05_BK;;;;;;;;;;;;;
W8.04;Rozliczanie projektów dotacyjnych;Wspierający;Niemedyczny;W8. Inwestycje i rozwój;DI / DFK;DI, K.DFK;;;Nie;Nie;;;;;;;;;;;;;;
W8.05;Rozwój oferty usług medycznych (nowe świadczenia, oddziały);Wspierający;Niemedyczny;W8. Inwestycje i rozwój;DI / DM / Zarząd;DI, DM, Z;;;Nie;Nie;;;;;;;;;;;;;;
W8.06;Współpraca naukowo-kliniczna (oddziały kliniczne);Wspierający;Niemedyczny;W8. Inwestycje i rozwój;DM / DI;DM, DI;;;Nie;Nie;;;;;;;;;;;;;;
W9.01;Obsługa skarg, wniosków i reklamacji pacjentów;Wspierający;Niemedyczny;W9. Komunikacja i obsługa pacjenta nieklinicznego;PPP / DOP;PPP, K.DOP;;;Tak;Nie;;;;;;;;;;;;;;
W9.02;Edukacja w zakresie praw pacjenta;Wspierający;Niemedyczny;W9. Komunikacja i obsługa pacjenta nieklinicznego;PPP;PPP;;;Tak;Nie;;;;;;;;;;;;;;
W9.03;Audyt i poprawa dostępności (architektoniczna / inf.-komun. / cyfrowa);Wspierający;Niemedyczny;W9. Komunikacja i obsługa pacjenta nieklinicznego;PD;PD;;;Tak;Nie;;;;;;;;;;;;;;
W9.04;Komunikacja zewnętrzna (strona WWW, BIP, media);Wspierający;Niemedyczny;W9. Komunikacja i obsługa pacjenta nieklinicznego;Zarząd / DI / DOP;Z, DI.DI, K.DOP;;;Tak;Nie;;;;;;;;;;;;;;
W9.05;Ankiety satysfakcji pacjenta;Wspierający;Niemedyczny;W9. Komunikacja i obsługa pacjenta nieklinicznego;PA / PPP;PA, PPP;;;Tak;Nie;;;;;;;;;;;;;;
G2.07;Diagnostyka obrazowa ze wspomaganiem AI (analiza w PUI);Główny;Medyczny;G2. Diagnostyka obrazowa;Lekarz radiolog / DI.DI;Pracownie RTG/TK, DI.DI;AI-13, AI-54, AI-58;AW-S03, AW-S08, AW-S11, AW-H06, AW-O06, AW-S22, AW-S23;Tak;Tak;;;;;;;;;;;;;;
W4.13;Monitorowanie bezpieczeństwa i obsługa SOC 24/7;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;ABS / DI.DI;DI.DI (+ dostawca SOC);AI-36, AI-51;AW-S17, AW-S18, AW-S16, AW-O05;Tak;Nie;;;;;;;;;;;;;;
W4.14;Zarządzanie podatnościami i testy bezpieczeństwa;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;ABS / DI.DI;DI.DI;AI-48, AI-51;AW-S18, AW-S16;Nie;Nie;;;;;;;;;;;;;;
W4.15;Monitorowanie środowiska IT i HIS;Wspierający;Niemedyczny;W4. IT / cyfryzacja / cyberbezp.;DI.DI;DI.DI;AI-51;AW-S16, AW-H01, AW-H06;Nie;Nie;;;;;;;;;;;;;;
G8.06;Digitalizacja dokumentacji medycznej (skan -> EDM -> P1);Główny;Medyczny;G8. Dokumentacja medyczna i archiwum;SDM / DI.DI;DM.SDM, DI.DI;AI-05, AI-57, AI-58, AI-61;AW-S09, AW-S05, AW-S08, AW-H07, AW-S21;Tak;Tak;;;;;;;;;;;;;;
Z2.09;Nadzór nad systemami AI (ISO/IEC 42001);Zarządczy;Niemedyczny;Z2. Systemy zgodności (ZSZ, SZBI, Akredytacja);Pełnomocnik ds. ZSZ / PBI;PZSZ, DI.DI;AI-60, AI-53, AI-54;AW-S10, AW-H06;Tak;Tak;;;;;;;;;;;;;;
