Kod;Proces;Warstwa;Grupa;Tory (role);Wlasciciel;Komorka;Aktywa AI;Systemy;Dane medyczne;BPMN;PNG;PDF
Z6.02;Współpraca z organami nadzoru (NFZ, MZ, Wojewoda, PIP, UODO, PSSE);Zarządczy;Z6. Kontrakt NFZ i relacje zewnętrzne;Organ (zewn.) / Zarząd / Komórki merytoryczne;Zarząd;Z;;;Nie;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.02__Wspolpraca-z-organami-nadzoru-NFZ-MZ-Wojewoda-PIP.bpmn;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.02__Wspolpraca-z-organami-nadzoru-NFZ-MZ-Wojewoda-PIP.png;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.02__Wspolpraca-z-organami-nadzoru-NFZ-MZ-Wojewoda-PIP.pdf
Z6.03;Komunikacja korporacyjna i relacje z mediami;Zarządczy;Z6. Kontrakt NFZ i relacje zewnętrzne;Komórka inicjująca / Zarząd / Dział Organizacyjno-Prawny;Zarząd;Z;;;Nie;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.03__Komunikacja-korporacyjna-i-relacje-z-mediami.bpmn;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.03__Komunikacja-korporacyjna-i-relacje-z-mediami.png;1_Zarzadczy_Z/Z6_Kontrakt-NFZ-i-relacje-zewnetrzne/Z6.03__Komunikacja-korporacyjna-i-relacje-z-mediami.pdf
G1.01;Przyjęcie pacjenta w trybie nagłym;Główny;G1. Wejście pacjenta - Izba Przyjęć;Izba Przyjęć / Pielęgniarka / Lekarz IP;Lekarz / Pielęgniarka IP;JO.SZ_KUP.IP (4900);AI-21, AI-08, AI-06, AI-22, AI-01;AW-S01 (Ruch Chorych, Izba Przyjęć) + eWUŚ;Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.01__Przyjecie-pacjenta-w-trybie-naglym.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.01__Przyjecie-pacjenta-w-trybie-naglym.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.01__Przyjecie-pacjenta-w-trybie-naglym.pdf
G1.02;Triaż medyczny;Główny;G1. Wejście pacjenta - Izba Przyjęć;Pielęgniarka triażu / Lekarz IP;Pielęgniarka triażu;JO.SZ_KUP.IP (4900);AI-01, AI-04, AI-21;AW-S01 (Izba Przyjęć);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.02__Triaz-medyczny.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.02__Triaz-medyczny.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.02__Triaz-medyczny.pdf
G1.03;Kwalifikacja do hospitalizacji;Główny;G1. Wejście pacjenta - Izba Przyjęć;Lekarz IP / Oddział docelowy;Lekarz IP;JO.SZ_KUP.IP (4900);AI-01, AI-15;AW-S01 (Ruch Chorych);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.03__Kwalifikacja-do-hospitalizacji.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.03__Kwalifikacja-do-hospitalizacji.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.03__Kwalifikacja-do-hospitalizacji.pdf
G1.04;Przekazanie pacjenta do innego podmiotu;Główny;G1. Wejście pacjenta - Izba Przyjęć;Lekarz IP / Zespół Transportu Medycznego / Podmiot docelowy;Lekarz IP;JO.SZ_KUP.IP (4900);AI-05, AI-06;AW-S01 + AW-S05 (P1);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.04__Przekazanie-pacjenta-do-innego-podmiotu.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.04__Przekazanie-pacjenta-do-innego-podmiotu.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.04__Przekazanie-pacjenta-do-innego-podmiotu.pdf
G1.05;Rejestracja przyjęć planowych do rehabilitacji;Główny;G1. Wejście pacjenta - Punkt Przyjęć Planowych;Punkt Przyjęć Planowych / Koordynator PPP / Lekarz rehabilitacji;Koordynator PPP;JO.SZ_POK.PPP;AI-06, AI-18, AI-21;AW-S01 (Rejestracja, Kolejki);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.05__Rejestracja-przyjec-planowych-do-rehabilitacji.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.05__Rejestracja-przyjec-planowych-do-rehabilitacji.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.05__Rejestracja-przyjec-planowych-do-rehabilitacji.pdf
G1.06;Kwalifikacja do programu rehabilitacji;Główny;G1. Wejście pacjenta - Punkt Przyjęć Planowych;Lekarz rehabilitacji / Zespół rehabilitacyjny;Lekarz rehabilitacji;JO.SZ_POK.PPP / 4300;AI-01, AI-16;AW-S01 (Rehabilitacja);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.06__Kwalifikacja-do-programu-rehabilitacji.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.06__Kwalifikacja-do-programu-rehabilitacji.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.06__Kwalifikacja-do-programu-rehabilitacji.pdf
G1.07;Prowadzenie listy oczekujących (AOTMiT/NFZ);Główny;G1. Wejście pacjenta - Punkt Przyjęć Planowych;Koordynator PPP / Dział Rozliczeń Świadczeń;Koordynator PPP / DM.DRZ;JO.SZ_POK.PPP / DM.DRZ;AI-18;AW-S01 (Kolejki);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.07__Prowadzenie-listy-oczekujacych-AOTMiT-NFZ.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.07__Prowadzenie-listy-oczekujacych-AOTMiT-NFZ.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.07__Prowadzenie-listy-oczekujacych-AOTMiT-NFZ.pdf
G1.08;Rejestracja pacjenta (osobista/telefoniczna/e-rejestracja);Główny;G1. Wejście pacjenta - Ambulatorium / POZ;Rejestracja / Pacjent;Rejestratorka;Poradnie KUP/POK/CHR;AI-11, AI-21, AI-22, AI-06, AI-55, AI-56;AW-S01 (Przychodnia) + eWUŚ, AW-S10, AW-S13;Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.08__Rejestracja-pacjenta-osobista-telefoniczna-e-rejes.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.08__Rejestracja-pacjenta-osobista-telefoniczna-e-rejes.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.08__Rejestracja-pacjenta-osobista-telefoniczna-e-rejes.pdf
G1.09;Przyjęcie pacjenta POZ (deklaracja, weryfikacja w eWUŚ);Główny;G1. Wejście pacjenta - Ambulatorium / POZ;Rejestracja POZ / Pielęgniarka POZ / Lekarz POZ;Lekarz / Pielęgniarka POZ;JO.POR_CHR (0010);AI-11, AI-21;AW-S01 (Przychodnia);Tak;2_Glowny_G/G1_Wejscie-pacjenta/G1.09__Przyjecie-pacjenta-POZ-deklaracja-weryfikacja-w-eW.bpmn;2_Glowny_G/G1_Wejscie-pacjenta/G1.09__Przyjecie-pacjenta-POZ-deklaracja-weryfikacja-w-eW.png;2_Glowny_G/G1_Wejscie-pacjenta/G1.09__Przyjecie-pacjenta-POZ-deklaracja-weryfikacja-w-eW.pdf
G2.01;Wykonanie badania obrazowego (warianty: RTG, TK, USG/UKG);Główny;G2. Diagnostyka obrazowa;Lekarz zlecający / Pracownia diagnostyczna / Lekarz opisujący;Technik / Lekarz radiolog;JO.POR_KUP.7240;AI-06, AI-13, AI-10, AI-54;AW-S03 (RIS/PACS) + AW-S01 (Zlecenia), AW-S11;Tak;2_Glowny_G/G2_Diagnostyka/G2.01__Wykonanie-badania-obrazowego-warianty-RTG-TK-USG-U.bpmn;2_Glowny_G/G2_Diagnostyka/G2.01__Wykonanie-badania-obrazowego-warianty-RTG-TK-USG-U.png;2_Glowny_G/G2_Diagnostyka/G2.01__Wykonanie-badania-obrazowego-warianty-RTG-TK-USG-U.pdf
G2.02;Wykonanie badania czynnościowego (warianty: układ krążenia [EKG, próby wysiłkowe, Holter], układ oddechowy [spirometria, bodypletyzmografia], polisomnografia, pH-metria);Główny;G2. Diagnostyka funkcjonalna;Lekarz zlecający / Pracownia diagnostyczna / Lekarz opisujący;Pielęgniarka / Lekarz;JO.POR_KUP.7998_KRAZ;AI-14, AI-10;AW-S01 (Zlecenia/Pracownia);Tak;2_Glowny_G/G2_Diagnostyka/G2.02__Wykonanie-badania-czynnosciowego-warianty-uklad-kr.bpmn;2_Glowny_G/G2_Diagnostyka/G2.02__Wykonanie-badania-czynnosciowego-warianty-uklad-kr.png;2_Glowny_G/G2_Diagnostyka/G2.02__Wykonanie-badania-czynnosciowego-warianty-uklad-kr.pdf
G2.03;"Wykonanie badania endoskopowego (warianty: górny odcinek GI [gastroskopia], dolny odcinek GI [kolonoskopia], bronchoskopia; sedacja/nadzór anestezjologiczny jako etap)";Główny;G2. Diagnostyka endoskopowa;Lekarz zlecający / Pracownia diagnostyczna / Lekarz opisujący;Lekarz endoskopista / Pielęgniarka;JO.POR_KUP.7910_G;AI-14, AI-15, AI-10;AW-S01 (Zlecenia/Pracownia);Tak;2_Glowny_G/G2_Diagnostyka/G2.03__Wykonanie-badania-endoskopowego-warianty-gorny-odc.bpmn;2_Glowny_G/G2_Diagnostyka/G2.03__Wykonanie-badania-endoskopowego-warianty-gorny-odc.png;2_Glowny_G/G2_Diagnostyka/G2.03__Wykonanie-badania-endoskopowego-warianty-gorny-odc.pdf
G2.04;Zlecanie i odbiór wyników badań laboratoryjnych;Główny;G2. Diagnostyka laboratoryjna;Lekarz prowadzący / Pielęgniarka / Laboratorium;Lekarz prowadzący / Pielęgniarka;Oddziały, Poradnie / JO.POR_KUP.7100;AI-06, AI-12;AW-S04 (LIS zewn.) + AW-S01 (Zlecenia);Tak;2_Glowny_G/G2_Diagnostyka/G2.04__Zlecanie-i-odbior-wynikow-badan-laboratoryjnych.bpmn;2_Glowny_G/G2_Diagnostyka/G2.04__Zlecanie-i-odbior-wynikow-badan-laboratoryjnych.png;2_Glowny_G/G2_Diagnostyka/G2.04__Zlecanie-i-odbior-wynikow-badan-laboratoryjnych.pdf
G2.05;Zarządzanie umową z laboratorium zewnętrznym;Główny;G2. Diagnostyka laboratoryjna;Dział Zamówień Publicznych / Dyrektor ds. Lecznictwa / Laboratorium zewn.;DZP / DM;DZP, DM;AI-38;AW-S02 (ERP);Nie;2_Glowny_G/G2_Diagnostyka/G2.05__Zarzadzanie-umowa-z-laboratorium-zewnetrznym.bpmn;2_Glowny_G/G2_Diagnostyka/G2.05__Zarzadzanie-umowa-z-laboratorium-zewnetrznym.png;2_Glowny_G/G2_Diagnostyka/G2.05__Zarzadzanie-umowa-z-laboratorium-zewnetrznym.pdf
G2.06;Kontrola jakości i kalibracja sprzętu diagnostycznego;Główny;G2. Diagnostyka - jakość i bezpieczeństwo;Inspektor Ochrony Radiologicznej / Dział Techniczny / Pracownia;Inspektor Ochrony Radiologicznej / DI.DT;Pracownie, DI.DT;AI-45, AI-44;- (ewidencja sprzętu);Nie;2_Glowny_G/G2_Diagnostyka/G2.06__Kontrola-jakosci-i-kalibracja-sprzetu-diagnostyczn.bpmn;2_Glowny_G/G2_Diagnostyka/G2.06__Kontrola-jakosci-i-kalibracja-sprzetu-diagnostyczn.png;2_Glowny_G/G2_Diagnostyka/G2.06__Kontrola-jakosci-i-kalibracja-sprzetu-diagnostyczn.pdf
G3.01;Proces diagnostyczno-terapeutyczny pacjenta hospitalizowanego;Główny;G3. Leczenie szpitalne - Oddział Chorób Wewnętrznych;Lekarz prowadzący / Pielęgniarka / Diagnostyka;Lekarz prowadzący;JO.SZ_KUP.4000;AI-01, AI-02, AI-07, AI-12, AI-13, AI-15;AW-S01 (Ruch Chorych, Zlecenia, Apteczka, ZDM) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.01__Proces-diagnostyczno-terapeutyczny-pacjenta-hospit.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.01__Proces-diagnostyczno-terapeutyczny-pacjenta-hospit.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.01__Proces-diagnostyczno-terapeutyczny-pacjenta-hospit.pdf
G3.02;Kompleksowa Ocena Geriatryczna (CGA);Główny;G3. Leczenie szpitalne - Oddział Kliniczny Geriatrii;Zespół geriatryczny / Lekarz geriatra;Lekarz geriatra / Zespół;JO.SZ_KUP.4060;AI-01, AI-02, AI-12;AW-S01 (Ruch Chorych, Zlecenia, ZDM);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.02__Kompleksowa-Ocena-Geriatryczna-CGA.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.02__Kompleksowa-Ocena-Geriatryczna-CGA.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.02__Kompleksowa-Ocena-Geriatryczna-CGA.pdf
G3.03;Proces diagnostyczno-terapeutyczny w geriatrii;Główny;G3. Leczenie szpitalne - Oddział Kliniczny Geriatrii;Lekarz geriatra / Pielęgniarka / Diagnostyka;Zespół geriatryczny;JO.SZ_KUP.4060;AI-01, AI-02, AI-07, AI-12;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.03__Proces-diagnostyczno-terapeutyczny-w-geriatrii.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.03__Proces-diagnostyczno-terapeutyczny-w-geriatrii.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.03__Proces-diagnostyczno-terapeutyczny-w-geriatrii.pdf
G3.04;Proces diagnostyczno-terapeutyczny w pulmonologii;Główny;G3. Leczenie szpitalne - Oddział Chorób Płuc;Lekarz pulmonolog / Pielęgniarka / Diagnostyka;Lekarz pulmonolog;JO.SZ_KUP.4272;AI-01, AI-02, AI-07, AI-14;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.04__Proces-diagnostyczno-terapeutyczny-w-pulmonologii.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.04__Proces-diagnostyczno-terapeutyczny-w-pulmonologii.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.04__Proces-diagnostyczno-terapeutyczny-w-pulmonologii.pdf
G3.05;Proces diagnostyczno-terapeutyczny w pulmonologii dziecięcej;Główny;G3. Leczenie szpitalne - Oddział Chorób Płuc dla Dzieci;Lekarz pediatra-pulmonolog / Pielęgniarka / Diagnostyka;Lekarz pediatra/pulmonolog;JO.SZ_KUP.4273;AI-01, AI-02, AI-07, AI-14;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.05__Proces-diagnostyczno-terapeutyczny-w-pulmonologii.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.05__Proces-diagnostyczno-terapeutyczny-w-pulmonologii.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.05__Proces-diagnostyczno-terapeutyczny-w-pulmonologii.pdf
G3.06;Proces diagnostyczno-terapeutyczny w reumatologii;Główny;G3. Leczenie szpitalne - Oddział Kliniczny Reumatologii;Lekarz reumatolog / Pielęgniarka / Diagnostyka;Lekarz reumatolog;JO.SZ_KUP.4280;AI-01, AI-02, AI-07, AI-12;AW-S01 (Ruch Chorych, Zlecenia, Apteczka) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.06__Proces-diagnostyczno-terapeutyczny-w-reumatologii.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.06__Proces-diagnostyczno-terapeutyczny-w-reumatologii.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.06__Proces-diagnostyczno-terapeutyczny-w-reumatologii.pdf
G3.07;Plan rehabilitacji indywidualnej (PRI) - oddział;Główny;G3. Leczenie szpitalne - Oddział Rehabilitacyjny (KUP);Lekarz rehabilitacji / Fizjoterapeuta / Zespół rehabilitacyjny;Lekarz rehabilitacji / Fizjoterapeuta;JO.SZ_KUP.4300;AI-16, AI-01;AW-S01 (Rehabilitacja, ZDM);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.07__Plan-rehabilitacji-indywidualnej-PRI-oddzial.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.07__Plan-rehabilitacji-indywidualnej-PRI-oddzial.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.07__Plan-rehabilitacji-indywidualnej-PRI-oddzial.pdf
G3.08;Plan rehabilitacji indywidualnej (PRI) - oddział kliniczny;Główny;G3. Leczenie szpitalne - Oddział Kliniczny Rehabilitacji (POK);Lekarz rehabilitacji / Fizjoterapeuta / Zespół rehabilitacyjny;Lekarz rehabilitacji / Fizjoterapeuta;JO.SZ_POK.4300;AI-16, AI-01;AW-S01 (Rehabilitacja, ZDM);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.08__Plan-rehabilitacji-indywidualnej-PRI-oddzial-klini.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.08__Plan-rehabilitacji-indywidualnej-PRI-oddzial-klini.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.08__Plan-rehabilitacji-indywidualnej-PRI-oddzial-klini.pdf
G3.09;Konsultacja specjalistyczna (między-oddziałowa, zewnętrzna);Główny;G3. Leczenie szpitalne - wspólne;Lekarz zlecający / Lekarz konsultujący;Lekarz konsultujący;Oddziały;AI-01;AW-S01 (Ruch Chorych);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.09__Konsultacja-specjalistyczna-miedzy-oddzialowa-zewn.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.09__Konsultacja-specjalistyczna-miedzy-oddzialowa-zewn.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.09__Konsultacja-specjalistyczna-miedzy-oddzialowa-zewn.pdf
G3.10;Przekazanie pacjenta między oddziałami / do innego podmiotu;Główny;G3. Leczenie szpitalne - wspólne;Oddział kierujący / Oddział przyjmujący / Zespół Transportu Medycznego;Lekarz prowadzący;Oddziały;AI-01, AI-05, AI-09;AW-S01 (Ruch Chorych);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.10__Przekazanie-pacjenta-miedzy-oddzialami-do-innego-p.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.10__Przekazanie-pacjenta-miedzy-oddzialami-do-innego-p.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.10__Przekazanie-pacjenta-miedzy-oddzialami-do-innego-p.pdf
G3.11;Postępowanie ze zgonem pacjenta;Główny;G3. Leczenie szpitalne - wspólne;Lekarz / Pielęgniarka / Sekcja Dokumentacji Medycznej;Lekarz / Pielęgniarka;Oddziały, IP;AI-20, AI-01;AW-S01 (Ruch Chorych);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.11__Postepowanie-ze-zgonem-pacjenta.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.11__Postepowanie-ze-zgonem-pacjenta.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.11__Postepowanie-ze-zgonem-pacjenta.pdf
G3.12;Zarządzanie zgodami pacjenta (świadoma zgoda, RODO, pełnomocnictwa, sprzeciwy);Główny;G3. Leczenie szpitalne - wspólne;Lekarz prowadzący / Sekcja Dokumentacji Medycznej;Lekarz prowadzący / SDM;Oddziały, Poradnie;AI-15;AW-S01 (ZDM);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.12__Zarzadzanie-zgodami-pacjenta-swiadoma-zgoda-RODO-p.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.12__Zarzadzanie-zgodami-pacjenta-swiadoma-zgoda-RODO-p.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.12__Zarzadzanie-zgodami-pacjenta-swiadoma-zgoda-RODO-p.pdf
G3.13;Wizyta lekarska w poradni specjalistycznej;Główny;G3. Leczenie ambulatoryjne;Rejestracja / Lekarz specjalista;Lekarz specjalista;JO.POR_KUP.PSP (1100/1272/1273/1280/1300);AI-11, AI-01, AI-06, AI-07;AW-S01 (Przychodnia/Gabinet) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.13__Wizyta-lekarska-w-poradni-specjalistycznej.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.13__Wizyta-lekarska-w-poradni-specjalistycznej.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.13__Wizyta-lekarska-w-poradni-specjalistycznej.pdf
G3.14;Świadczenia w gabinecie diagnostyczno-zabiegowym;Główny;G3. Leczenie ambulatoryjne;Pielęgniarka / Lekarz;Lekarz / Pielęgniarka zabiegowa;9450 (KUP/POK/CHR);AI-11, AI-01;AW-S01 (Przychodnia/Gabinet);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.14__Swiadczenia-w-gabinecie-diagnostyczno-zabiegowym.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.14__Swiadczenia-w-gabinecie-diagnostyczno-zabiegowym.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.14__Swiadczenia-w-gabinecie-diagnostyczno-zabiegowym.pdf
G3.15;Wystawianie e-recept, e-skierowań, e-ZLA, zaświadczeń;Główny;G3. Leczenie ambulatoryjne;Lekarz / System P1 / ZUS;Lekarz;Poradnie, Oddziały;AI-07, AI-06;AW-S05 (P1);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.15__Wystawianie-e-recept-e-skierowan-e-ZLA-zaswiadczen.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.15__Wystawianie-e-recept-e-skierowan-e-ZLA-zaswiadczen.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.15__Wystawianie-e-recept-e-skierowan-e-ZLA-zaswiadczen.pdf
G3.16;Wizyta lekarska POZ (ogólna/dziecięca);Główny;G3. Leczenie ambulatoryjne - POZ;Rejestracja POZ / Lekarz POZ;Lekarz POZ;JO.POR_CHR.0010 (O/D);AI-11, AI-07;AW-S01 (Przychodnia/Gabinet) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.16__Wizyta-lekarska-POZ-ogolna-dziecieca.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.16__Wizyta-lekarska-POZ-ogolna-dziecieca.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.16__Wizyta-lekarska-POZ-ogolna-dziecieca.pdf
G3.17;Świadczenia pielęgniarki POZ;Główny;G3. Leczenie ambulatoryjne - POZ;Pielęgniarka POZ / Lekarz POZ;Pielęgniarka POZ;JO.POR_CHR.0032;AI-03, AI-11;AW-S01 (Przychodnia);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.17__Swiadczenia-pielegniarki-POZ.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.17__Swiadczenia-pielegniarki-POZ.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.17__Swiadczenia-pielegniarki-POZ.pdf
G3.18;Medycyna szkolna - profilaktyka i opieka;Główny;G3. Leczenie ambulatoryjne - POZ;Pielęgniarka medycyny szkolnej / Lekarz POZ;Pielęgniarka medycyny szkolnej;JO.POR_CHR.0040;AI-11;AW-S01 (Przychodnia);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.18__Medycyna-szkolna-profilaktyka-i-opieka.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.18__Medycyna-szkolna-profilaktyka-i-opieka.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.18__Medycyna-szkolna-profilaktyka-i-opieka.pdf
G3.19;Bilanse zdrowia i szczepienia ochronne;Główny;G3. Leczenie ambulatoryjne - POZ;Pielęgniarka POZ / Lekarz POZ;Lekarz POZ / Pielęgniarka;JO.POR_CHR.0010;AI-11, AI-07;AW-S01 (Przychodnia) + P1;Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.19__Bilanse-zdrowia-i-szczepienia-ochronne.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.19__Bilanse-zdrowia-i-szczepienia-ochronne.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.19__Bilanse-zdrowia-i-szczepienia-ochronne.pdf
G3.20;Kwalifikacja i prowadzenie rehabilitacji w ośrodku dziennym;Główny;G3. Rehabilitacja dzienna;Lekarz rehabilitacji / Fizjoterapeuta;Lekarz / Fizjoterapeuta;JO.POR_KUP.ORD, JO.POR_POK;AI-16, AI-11;AW-S01 (Rehabilitacja);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.20__Kwalifikacja-i-prowadzenie-rehabilitacji-w-osrodku.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.20__Kwalifikacja-i-prowadzenie-rehabilitacji-w-osrodku.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.20__Kwalifikacja-i-prowadzenie-rehabilitacji-w-osrodku.pdf
G3.21;Dzienna opieka geriatryczna;Główny;G3. Rehabilitacja dzienna;Zespół geriatryczny / Pielęgniarka;Zespół geriatryczny;JO.POR_KUP.2200;AI-16, AI-11;AW-S01 (Rehabilitacja);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.21__Dzienna-opieka-geriatryczna.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.21__Dzienna-opieka-geriatryczna.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.21__Dzienna-opieka-geriatryczna.pdf
G3.22;Realizacja zabiegu rehabilitacji ambulatoryjnej/domowej (warianty: fizykoterapia, kinezyterapia, hydroterapia, krioterapia, masaż leczniczy, balneoterapia, rehabilitacja domowa);Główny;G3. Rehabilitacja ambulatoryjna i domowa;Fizjoterapeuta / Lekarz rehabilitacji;Fizjoterapeuta;ZRL.1312 (KUP/POK);AI-16;AW-S01 (Rehabilitacja);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.22__Realizacja-zabiegu-rehabilitacji-ambulatoryjnej-do.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.22__Realizacja-zabiegu-rehabilitacji-ambulatoryjnej-do.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.22__Realizacja-zabiegu-rehabilitacji-ambulatoryjnej-do.pdf
G3.23;Kompleksowa diagnoza funkcjonalna i plan usprawniania;Główny;G3. Centrum Diagnozy i Usprawniania Pacjenta;Zespół interdyscyplinarny / Lekarz;Zespół interdyscyplinarny;JO.POR_KUP.9000;AI-16, AI-01;AW-S01 (Rehabilitacja);Tak;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.23__Kompleksowa-diagnoza-funkcjonalna-i-plan-usprawnia.bpmn;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.23__Kompleksowa-diagnoza-funkcjonalna-i-plan-usprawnia.png;2_Glowny_G/G3_Leczenie-i-rehabilitacja/G3.23__Kompleksowa-diagnoza-funkcjonalna-i-plan-usprawnia.pdf
